common,latin,year,source,pub.year,pub.title
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Canadian Journal of Zoology,1993,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of Applied Ichthyology,1999,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Fisheries,2006,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Conservation Genetics,2008,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Environmental Biology of Fishes,1997,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Environmental Biology of Fishes,2004,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Nature,2002,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,2000,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,2000,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,2004,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,2004,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,North American Journal of Fisheries Management,1985,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,2003,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Journal of Applied Ichthyology,2002,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Estuaries,1996,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Canadian Journal of Zoology,1979,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,2003,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1996,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,Transactions of the American Fisheries Society,1997,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Atlantic Sturgeon,Acipenser oxyrinchus,2011,North American Journal of Aquaculture,2001,"COSEWIC assessment and status report on the Atlantic Sturgeon, Acipenser oxyrinchus, St. Lawrence populations, Maritimes populations, in Canada .: CW69-14/636-2011E-PDF Publications - Canada.ca"
Limber Pine,Pinus flexilis,2000,International Union for Conservation of Nature,2000,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Functional Ecology,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Ecological Applications,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Climatic Change,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1990,Evolution,1990,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Trends in Ecology & Evolution,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1983,Bears: Their Biology and Management,1983,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2008,Forest Ecology and Management,2008,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1991,Annals of Botany,1991,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1995,Quaternary Research,1995,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2009,Forest Ecology and Management,2009,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2006,NA,2006,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2005,Taxon,2005,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1989,The Canadian Entomologist,1989,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,BioScience,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2006,Forest Pathology,2006,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2000,Molecular Ecology,2000,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1991,Journal of Vegetation Science,1991,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1999,Ecological Monographs,1999,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2000,Heredity,2000,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2000,American Journal of Botany,2000,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2009,Canadian Journal of Forest Research,2009,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Forest Pathology,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1979,American Zoologist,1979,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2005,American Journal of Botany,2005,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2011,Plant Pathology,2011,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Mycorrhiza,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1990,Evolutionary Ecology,1990,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Plant Disease,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Forest Pathology,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1995,American Midland Naturalist,1995,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Canadian Journal of Forest Research,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2003,JAWRA Journal of the American Water Resources Association,2003,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2002,Global Change Biology,2002,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2006,Ecology,2006,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Forest Pathology,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2011,Forest Pathology,2011,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2004,Journal of Ecology,2004,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1994,Oecologia,1994,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1982,Environmental Entomology,1982,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1987,American Midland Naturalist,1987,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2000,Écoscience,2000,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2006,International Journal of Plant Sciences,2006,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Journal of Ecology,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2008,Global and Planetary Change,2008,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1998,Journal of Archaeological Science,1998,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2009,Forest Pathology,2009,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2001,Écoscience,2001,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2009,Forest Ecology and Management,2009,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1972,The Canadian Entomologist,1972,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1984,Ecology,1984,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2012,Global Ecology and Biogeography,2012,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1993,Forest Pathology,1993,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2009,Canadian Journal of Forest Research,2009,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2008,Ecology,2008,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1989,American Journal of Botany,1989,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Forest Pathology,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1986,Bulletin of the Torrey Botanical Club,1986,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2002,NA,2002,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2005,Geophysical Research Letters,2005,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1989,"Palaeogeography, Palaeoclimatology, Palaeoecology",1989,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1983,Ecological Monographs,1983,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2005,BioScience,2005,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2012,"Annual Review of Ecology, Evolution, and Systematics",2012,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1991,Journal of Field Archaeology,1991,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1980,Forest Pathology,1980,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2012,"Annual Review of Ecology, Evolution, and Systematics",2012,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Molecular Ecology,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1991,Conservation Biology,1991,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2007,Systematic Biology,2007,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1980,NA,1980,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,1999,Molecular Phylogenetics and Evolution,1999,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2006,Molecular Phylogenetics and Evolution,2006,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2002,American Journal of Botany,2002,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
Limber Pine,Pinus flexilis,2010,Forest Pathology,2010,"COSEWIC assessment and status report on the Limber Pine, Pinus flexilis, in Canada. [by] Committee on the Status of Endangered Wildlife in Canada."
