Citing document Overton id,Source of citing document,Source sector of citing document,Source organisation type of citing document,Source function of citing document,Source country of citing document,Published on date of citing document,Title of citing document,Type of citation,Cited identifier,Cited title,Cited source or journal,Cited source sector,Cited source organisation type,Cited source function,Cited source country,Cited published on date
governmentofcanada-eb33f265d877c0417bddb26731462b9c,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2018-01-01,"COSEWIC assessment and status report on the grey whale, Eschrichtius robustus, Northern Pacific migratory population, Pacific Coast feeding group population, Western Pacific population, in Canada .",scholarly,10.2305/iucn.uk.2008.rlts.t8097a12885255.en,"Eschrichtius robustus: Reilly, S.B., Bannister, J.L., Best, P.B., Brown, M., Brownell Jr., R.L., Butterworth, D.S., Clapham, P.J., Cooke, J., Donovan, G.P., Urbán, J. & Zerbini, A.N.",IUCN Red List of Threatened Species,,,,,2008-06-30
governmentofcanada-eb33f265d877c0417bddb26731462b9c,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2018-01-01,"COSEWIC assessment and status report on the grey whale, Eschrichtius robustus, Northern Pacific migratory population, Pacific Coast feeding group population, Western Pacific population, in Canada .",scholarly,10.17487/rfc2555,30 Years of RFCs,,,,,,1999-04-01
governmentofcanada-eb33f265d877c0417bddb26731462b9c,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2018-01-01,"COSEWIC assessment and status report on the grey whale, Eschrichtius robustus, Northern Pacific migratory population, Pacific Coast feeding group population, Western Pacific population, in Canada .",scholarly,10.1016/s0045-6535(02)00061-9,Chemical contaminants in juvenile gray whales (Eschrichtius robustus) from a subsistence harvest in Arctic feeding grounds,Chemosphere,,,,,2002-05-01
governmentofcanada-eb33f265d877c0417bddb26731462b9c,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2018-01-01,"COSEWIC assessment and status report on the grey whale, Eschrichtius robustus, Northern Pacific migratory population, Pacific Coast feeding group population, Western Pacific population, in Canada .",scholarly,10.1186/2046-9063-10-8,Assessing environmental impacts of offshore wind farms: lessons learned and recommendations for the future,Aquatic Biosystems,,,,,2014-01-01
governmentofcanada-eb33f265d877c0417bddb26731462b9c,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2018-01-01,"COSEWIC assessment and status report on the grey whale, Eschrichtius robustus, Northern Pacific migratory population, Pacific Coast feeding group population, Western Pacific population, in Canada .",scholarly,10.1038/nature04095,Anthropogenic ocean acidification over the twenty-first century and its impact on calcifying organisms,Nature,,,,,2005-09-01
governmentofcanada-eb33f265d877c0417bddb26731462b9c,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2018-01-01,"COSEWIC assessment and status report on the grey whale, Eschrichtius robustus, Northern Pacific migratory population, Pacific Coast feeding group population, Western Pacific population, in Canada .",scholarly,10.7289/v5/tm-swfsc,,,,,,,
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",policy,iucn-ead2bd70363aa021369eb88ccdfee13b,Guidelines for application of IUCN Red List criteria at regional and national levels : version 4.0,International Union for Conservation of Nature,Third Sector,IGO,"International Body|OVSEP|Top-Level Authority|OVSEP|Professional Network, Association, Union or Cooperative|OVSEP|Initiative, Programme or Project|OVSEP|Policy Centre|OVSEP|Research Centre",France,2012-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",policy,unesco-be09f3caad9697baa6cf708aadaec42d,State of conservation of properties inscribed on the World Heritage List,UNESCO,Public Sector,IGO,International Body|OVSEP|IGO Department or Agency|OVSEP|Cultural Institution|OVSEP|Policy Centre,IGO,2004-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1155/2012/149026,Identifying Large- and Small-Scale Habitat Characteristics of Monarch Butterfly Migratory Roost Sites with Citizen Science Observations,International Journal of Zoology,,,,,2012-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1006/jipa.1999.4853,Effects of the Protozoan Parasite Ophryocystis elektroscirrha on the Fitness of Monarch Butterflies (Danaus plexippus),Journal of Invertebrate Pathology,,,,,1999-07-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1126/science.204.4395.847,Mortality of the Monarch Butterfly (Danaus plexippus L.): Avian Predation at Five Overwintering Sites in Mexico,Science,,,,,1979-05-25
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1038/291067a0,Birds can overcome the cardenolide defence of monarch butterflies in Mexico,Nature,,,,,1981-05-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1007/s10841-008-9169-y,The fall migration flyways of monarch butterflies in eastern North America revealed by citizen scientists,Journal of Insect Conservation,,,,,2009-06-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.5860/choice.39-0313,"Butterflies of British Columbia including Western Alberta, Southern Yukon, the Alaska Panhandle, Washington, Northern Oregon, Northern Idaho, and Northwestern Montana",Choice Reviews Online,,,,,2001-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1016/j.biocon.2012.12.028,Factors affecting road mortality and the suitability of road verges for butterflies,Biological Conservation,,,,,2013-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.7591/9780801455605-002,"PART I Model Programs for Citizen Science, Education, and Conservation An Overview",Monarchs in a Changing World,,,,,2018-12-31
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/1365-2664.12372,"EDITOR'S CHOICE: Neonicotinoid insecticide travels through a soil food chain, disrupting biological control of non-target pests and decreasing soya bean yield",Journal of Applied Ecology,,,,,2015-02-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.7591/9780801455605-004,PART III Monarchs in a Changing Climate An Overview,Monarchs in a Changing World,,,,,2018-12-31
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1007/s10886-009-9655-z,The Influence of Eastern North American Autumnal Migrant Monarch Butterflies (Danaus plexippus L.) on Continuously Breeding Resident Monarch Populations in Southern Florida,Journal of Chemical Ecology,,,,,2009-07-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1440-6055.1986.tb01064.x,THE INFLUENCE OF SEX RATIO ON FEMALE DISPERSAL IN DANAUS PLEXIPPUS (L.) (LEPIDOPTERA: DANAIDAE),Australian Journal of Entomology,,,,,1986-02-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1073/pnas.1323607111,Anthropogenic changes in sodium affect neural and muscle development in butterflies,Proceedings of the National Academy of Sciences,,,,,2014-07-15
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1365-2486.2007.01404.x,"Influences of species, latitudes and methodologies on estimates of phenological response to global warming",Global Change Biology,,,,,2007-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1126/science.349.6248.570,Monarchs pose a puzzle,Science,,,,,2015-08-07
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1038/nature13812,The genetics of monarch butterfly migration and warning colouration,Nature,,,,,2014-10-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1890/03-5128,DO NORTH AMERICAN MONARCH BUTTERFLIES TRAVEL TO CUBA? STABLE ISOTOPE AND CHEMICAL TRACER TECHNIQUES,Ecological Applications,,,,,2004-08-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1093/aesa/sav115,Conclusion of No Decline in Summer Monarch Population Not Supported,Annals of the Entomological Society of America,,,,,2016-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1093/aesa/sav060,"Population Trends of Monarchs at a Northern Monitoring Site: Analyses of 19 Years of Fall Migration Counts at Peninsula Point, MI",Annals of the Entomological Society of America,,,,,2015-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1603/0046-225x(2007)36[1365:enisgo]2.0.co;2,Ecological Niches in Sequential Generations of Eastern North American Monarch Butterflies (Lepidoptera: Danaidae): The Ecology of Migration and Likely Climate Change Implications,Environmental Entomology,,,,,2007-12-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1461-0248.2005.00722.x,Parasites hinder monarch butterfly flight: implications for disease spread in migratory hosts,Ecology Letters,,,,,2005-02-25
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.7591/9780801455605,Monarchs in a Changing World,,,,,,2018-12-31
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.4141/p05-193,A decade of herbicide-resistant crops in Canada,Canadian Journal of Plant Science,,,,,2006-10-10
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1603/0046-225x(2007)36[631:mboosv]2.0.co;2,Monarch Butterfly Oviposition on Swallow-Worts (<I>Vincetoxicum</I> spp.),Environmental Entomology,,,,,2007-06-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1752-4598.2011.00142.x,Decline of monarch butterflies overwintering in Mexico: is the migratory phenomenon at risk?,Insect Conservation and Diversity,,,,,2012-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1046/j.1523-1739.2002.00572.x,"Quantitative Changes in Forest Quality in a Principal Overwintering Area of the Monarch Butterfly in Mexico, 1971-1999",Conservation Biology,,,,,2002-04-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1038/srep23265,"Quasi-extinction risk and population targets for the Eastern, migratory population of monarch butterflies (Danaus plexippus)",Scientific Reports,,,,,2016-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/1365-2656.12253,Unravelling the annual cycle in a migratory animal: breeding-season habitat loss drives population declines of monarch butterflies,Journal of Animal Ecology,,,,,2015-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1098/rspb.2013.1087,Tracking multi-generational colonization of the breeding grounds by monarch butterflies in eastern North America,Proceedings of the Royal Society B: Biological Sciences,,,,,2013-08-07
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1095-8312.2005.00512.x,"Distribution of the monarch butterfly, Danaus plexippus (L.) (Lepidoptera: Nymphalidae), in western North America",Biological Journal of the Linnean Society,,,,,2005-07-20
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1752-4598.2011.00158.x,Are migratory monarchs really declining in eastern North America? Examining evidence from two fall census programs,Insect Conservation and Diversity,,,,,2012-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1558-5646.1978.tb04633.x,"AN ANALYSIS OF GENETIC STRUCTURE IN THE MONARCH BUTTERFLY, DANAUS PLEXIPPUS L.",Evolution,,,,,1978-12-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1046/j.1570-7458.2003.00089.x,Oviposition preference and larval performance of monarch butterflies (Danaus plexippus) on two invasive swallow-wort species,Entomologia Experimentalis et Applicata,,,,,2003-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1093/aesa/sav041,"Long-term Trends in the Number of Monarch Butterflies (Lepidoptera: Nymphalidae) Counted on Fall Migration at Long Point, Ontario, Canada (1995–2014)",Annals of the Entomological Society of America,,,,,2015-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1016/j.cropro.2010.07.018,Reduction in common milkweed (Asclepias syriaca) occurrence in Iowa cropland from 1999 to 2009,Crop Protection,,,,,2010-12-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1093/biosci/biv045,The Monarch Butterfly through Time and Space: The Social Construction of an Icon,BioScience,,,,,2015-06-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1139/z81-084,"Altitudes attained by migrating monarch butterflies, Danaus p. plexippus (Lepidoptera: Danaidae), as reported by glider pilots",Canadian Journal of Zoology,,,,,1981-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1139/z79-180,"Soaring flight of monarch butterflies, Danaus plexippus (Lepidoptera: Danaidae), during the late summer migration in southern Ontario",Canadian Journal of Zoology,,,,,1979-07-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1139/z93-012,Lipid accumulation by migrating monarch butterflies (Danaus plexippus L.),Canadian Journal of Zoology,,,,,1993-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1371/journal.pone.0119133,"Soil-Applied Imidacloprid Translocates to Ornamental Flowers and Reduces Survival of Adult Coleomegilla maculata, Harmonia axyridis, and Hippodamia convergens Lady Beetles, and Larval Danaus plexippus and Vanessa cardui Butterflies",PLOS ONE,,,,,2015-03-23
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.7591/9780801455605-005,PART IV Conserving North American Monarch Butterflies An Overview,Monarchs in a Changing World,,,,,2018-12-31
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1155/2010/689301,Citizen Science Observations of Monarch Butterfly Overwintering in the Southern United States,Psyche: A Journal of Entomology,,,,,2010-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1093/aesa/sav061,"Investigating Long-Term Changes in the Spring Migration of Monarch Butterflies (Lepidoptera: Nymphalidae) Using 18 Years of Data From Journey North, a Citizen Science Program",Annals of the Entomological Society of America,,,,,2015-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/oik.03196,Linking the continental migratory cycle of the monarch butterfly to understand its population decline,Oikos,,,,,2016-08-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1371/journal.pone.0031891,Migratory Connectivity of the Monarch Butterfly (Danaus plexippus): Patterns of Spring Re-Colonization in Eastern North America,PLoS ONE,,,,,2012-03-13
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1046/j.1570-7458.2003.00049.x,A comparison of the host preference of monarch butterflies (Danaus plexippus) for milkweed (Asclepias syriaca) over dog-strangler vine (Vincetoxicum rossicum),Entomologia Experimentalis et Applicata,,,,,2003-06-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1007/bf01951814,Evolutionary and ecological implications of cardenolide sequestration in the monarch butterfly,Experientia,,,,,1989-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1365-294x.2012.05613.x,Lack of genetic differentiation between monarch butterflies with divergent migration destinations,Molecular Ecology,,,,,2012-07-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.7591/9780801455605-003,"PART II Monarchs as Herbivores, Prey, and Hosts An Overview",Monarchs in a Changing World,,,,,2018-12-31
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/j.1752-4598.2012.00196.x,Milkweed loss in agricultural fields because of herbicide use: effect on the monarch butterfly population,Insect Conservation and Diversity,,,,,2013-03-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1007/s00114-015-1270-y,Non-target effects of clothianidin on monarch butterflies,The Science of Nature,,,,,2015-04-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1098/rspb.2014.1734,Loss of migratory behaviour increases infection risk for a butterfly host,Proceedings of the Royal Society B: Biological Sciences,,,,,2015-01-14
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1093/aesa/sav055,The Disconnect Between Summer and Winter Monarch Trends for the Eastern Migratory Population: Possible Links to Differing Drivers,Annals of the Entomological Society of America,,,,,2015-09-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1111/icad.12198,"Milkweed restoration in the Midwest for monarch butterfly recovery: estimates of milkweeds lost, milkweeds remaining and milkweeds that must be added to increase the monarch population",Insect Conservation and Diversity,,,,,2017-01-01
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.3354/esr00095,Travelling through a warming world: climate change and migratory species,Endangered Species Research,,,,,2009-06-17
governmentofcanada-ef1962ab62eec5a67cfce8ca5b28e5a1,Government of Canada,Public Sector,Government,National Body|OVSEP|Mixed Roles|OVSEP|Public Service,Canada,2017-01-01,"COSEWIC assessment and status report on the Monarch, Danaus plexippus, in Canada .",scholarly,10.1016/j.cosust.2013.05.007,"Neonicotinoids, bee disorders and the sustainability of pollinator services",Current Opinion in Environmental Sustainability,,,,,2013-09-01
